Section,Sub-section,Entry,Price,Blurb
City Island Favorites,Catch of the Day,Halibut or Swordfish,27.95,
City Island Favorites,Catch of the Day,Norwegian Salmon,25.95,
City Island Favorites,Catch of the Day,Mahi-Mahi,25.95,
City Island Favorites,Catch of the Day,Chilean Sea Bass,29.95,
City Island Favorites,Catch of the Day,Boston Scrod,24.95,
City Island Favorites,Catch of the Day,Fillet of Sole,25.95,
City Island Favorites,Catch of the Day,Whole Red Snapper,27.95,
City Island Favorites,Catch of the Day,Bluefish,20.95,
City Island Favorites,Catch of the Day,Tilapia,25.95,
City Island Favorites,Catch of the Day,Red Snapper Filet,25.95,
City Island Favorites,,Twin Lobster Tail Platter,45.95,
City Island Favorites,,Jump Shrimp Scampi,26.95,
City Island Favorites,,Baked Scallops & Shrimp Combination,42.95,
City Island Favorites,,Baked Baby Lobster Tail Platter,33.95,
City Island Favorites,,Baked Day Boat Sea Scallops,32.95,
City Island Favorites,,Maryland Crab Cakes,32.95,
Extraordinary Combinations,,Whole Lobster,43.95,Served broiled with your choice of: Shell Steak • Prime Rib • Spare Ribs or Fried Shrimp
Extraordinary Combinations,,Snow Crab Legs,37.95,Served broiled with your choice of: Shell Steak • Prime Rib • Spare Ribs or Fried Shrimp
Extraordinary Combinations,,Lobster Tail Combo,43.95,Served broiled with your choice of: Shell Steak • Prime Rib • Spare Ribs or Fried Shrimp
Extraordinary Combinations,,Broiled or Fried Shrimp Combos,37.95,Served broiled with your choice of: Shell Steak • Prime Rib • Spare Ribs or Fried Shrimp
Extraordinary Combinations,,King Crab Legs,50.95,Served broiled with your choice of: Shell Steak • Prime Rib • Spare Ribs or Fried Shrimp
Specials,,22oz Porter House Steak,35.95,A Lobster House special cut
Specials,,Surf & Turf: Porter House Steak,47.95,A succulent Lobster Tail added to our special cut Porter House
Specials,,Chilean Sea Bass,30.95,Grilled over spinach with Balsamic reduction
Lobster House Crab Corner,From Alaska,King Crab Legs,60.95,
Lobster House Crab Corner,From Alaska,Snow Crab Legs Clusters,32.95,
Lobster House Crab Corner,From Maryland,While Blue Claw Crabs,29.95,served broiled or steamed or Baltimore Style (spicy w/Old Bay) also served w/ garlic or red sauce
Lobster House Crab Corner,,Jumbo Dungeness Crab Claw Clusters,33.95,served broiled or steamed
Lobster House Crab Corner,,Super Crab Lovers Combination,65.95,"King Crab Legs, Snow Crab Legs & Dungeness Crab"
Appeteziers,Cold,Jumbo Shrimp Cocktail (5),16.95,
Appeteziers,Cold,Whole Lobster in Shell (cold),22.95,
Appeteziers,Cold,Scungilli Salad,15.95,
Appeteziers,Cold,Calamari Salad,14.95,
Appeteziers,Cold,Freshly Shucked Littleneck or Cherrystone Clams,10,(1/2 doz.)
Appeteziers,Cold,Bluepoint Oysters,2,(each)
Appeteziers,Cold,Seafood Salad Combo,20.95,
Appeteziers,Hot,Buffalo Wings (12),12.95,12
Appeteziers,Mozzarella Sticks (8),Mozzarella Sticks (8),11.95,11
Appeteziers,Hot,Coconut Shrimp,16.95,16
Appeteziers,Hot,Fried Calamari,13.95,13
Appeteziers,Hot,Fried Ravioli,12.95,12
Appeteziers,Hot,Tender Chicken Fingers,12.95,12
Appeteziers,Hot,Oysters Rockefeller (1/2-doz.),15.95,15
Appeteziers,Hot,Clams Oreganato (6),10.95,10
Appeteziers,Hot,Clams Oreganato (12),18.95,18
Appeteziers,Hot,Baked Clams Casino (6),11.95,11
Appeteziers,Hot,Maryland Crab Caks (2),19.95,19
Appeteziers,Hot,Littleneck Steamers (doz.),17.95,17
Appeteziers,Hot,Clams in Red or Garlic Sauce,17.95,17
Appeteziers,Hot,Mussels in Red or Garlic Sauce,15.95,15
Appeteziers,Hot,A Whopping Pot of Ipswich Steamers,24.95,24
Appeteziers,Soups,Lobster House Bisque,6.95,
Appeteziers,Soups,New England Clam Chowder,6.95,
Appeteziers,Soups,Manhattan Clam Chowder,4.95,
Lobster House Lunch Menu,Entrées,Fresh Catch of the Day,21.95,succulent broiled or steamed
Lobster House Lunch Menu,Entrées,Broiled Combination,30.95,"a combination of baby lobster tail, shrimp, filet of sole, mussels & clams"
Lobster House Lunch Menu,Entrées,Lobster Tail Plate,26.95,succulent broiled or steamed
Lobster House Lunch Menu,Entrées,Authentic Fish & Chips,22.95,
Lobster House Lunch Menu,Entrées,Jumbo Fried Shrimp,20.95,a City Island Favorite
